연번,행정동명,도로명주소,지번주소,장소명,모델명,설치일자,좌표정보(X),좌표정보(Y),관리기관명,담당부서명,관리기관전화번호,데이터기준일자
1,금호읍,영천시 금호읍 신대길 26,영천시 금호읍 신대리 64-13,마을회관,HS-PA2200,2019,35.910341,128.868323,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
2,금호읍,영천시 금호읍 관황길49-4,영천시 금호읍 황정리 412-2,마을회관,HS-PA2200,2020,36.017441,128.892944,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
3,금호읍,영천시 금호읍 대곡길 31-6,금호읍 금호읍 대곡1리 688,마을회관,SGA-4010,2020,35.892013,128.920136,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
4,금호읍,영천시 금호읍 대배길 50,영천시 금호읍 대곡2리 403-1,마을회관,SGA-4010,2012,35.895773,128.923723,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
5,금호읍,영천시 금호읍 봉일길 50-3,금호읍 금호읍 봉죽2리 189,마을회관,ACT-A42,2021,35.93615,128.911876,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
6,금호읍,영천시 금호읍 죽방길 139,영천시 금호읍 죽2리 189,마을회관,HS-PA2200,2020,35.931994,128.913631,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
7,금호읍,영천시 금호읍 돌섬1길 13,영천시 금호읍 석섬리 257,마을회관,ACT-A42,2021,35.946709,128.887312,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
8,금호읍,영천시 금호읍 사근달길 75-3,영천시 금호읍 오계리 545-3,마을회관,SGA-5K30,2017,35.902758,128.895935,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
9,금호읍,영천시 금호읍 구암길 135-6,영천시 금호읍 구암리 1131-2,마을회관,SGA-5K30,2017,35.908942,128.936833,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
10,금호읍,영천시 금호읍 가야길 89,영천시 금호읍 약남리 236,마을회관,ACT-A42,2021,35.90068,128.931015,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
11,금호읍,영천시 금호읍 대승지길 44,영천시 호홍읍 호남리 200-2,마을회관,ACT-A42,2021,35.8994,128.915178,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
